Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
5,9,13,The One with Ross's Sandwich,28,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,Gary Halvorson,9.1
5,10,17,The One with the Inappropriate Sister,37,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,Dana De Vally Piazza,8.2
5,11,11,The One with All the Resolutions,32,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,Joe Regalbuto,9.1
5,12,15,The One with Chandler's Work Laugh,34,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,Kevin Bright,8.3
5,13,12,The One with Joey's Bag,23,Phoebe's grandmother dies and is shocked when her father turns up at the funeral. Meanwhile Rachel gives Joey a man's bag for an audition and Chandler is scared to tell Monica he doesn't like her massages.,Gail Mancuso,8.1
5,14,11,The One Where Everybody Finds Out,33,When Phoebe finds out about Monica and Chandler she and Rachel attempt to get them to confess their relationship.,Michael Lembeck,9.7
5,15,13,The One with the Girl Who Hits Joey,35,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,Kevin Bright,8.5
5,16,13,The One with the Cop,20,Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile Phoebe finds a police badge in Central Perk and Ross tries to get his new sofa into his apartment.,Andrew Tsao,8.6
5,17,16,The One with Rachel's Inadvertent Kiss,38,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,Shelley Jensen,8.5
5,18,14,The One Where Rachel Smokes,27,Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.,Todd Holland,8.0
5,19,6,The One Where Ross Can't Flirt,30,As Joey's grandmother visits to watch him on TV Ross has trouble flirting with the pizza delivery girl and Rachel tries to find an earring of Monica's that she has misplaced.,Gail Mancuso,8.7
5,20,12,The One with the Ride Along,27,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,Gary Halvorson,8.3
5,21,12,The One with the Ball,21,Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom. Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.,Gary Halvorson,8.5
5,22,12,The One with Joey's Big Break,29,Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross but doesn't know why.,Gary Halvorson,8.3
